City,State,Year,Severity
Chicago,IL,2021,Murder
Trujillo Alto,PR,2021,Murder
Atlanta,GA,2021,Murder
Jackson,MS,2021,Murder
Baton Rouge,LA,2021,Murder
Miami,FL,2021,Murder
New Wilmington,PA,2021,Murder
Ambridge,PA,2021,Murder
Jacksonville,NC,2021,Murder
Cincinnati,OH,2021,Murder
Los Angeles,CA,2021,Murder
Charlotte,NC,2021,Murder
Springfield,MS,2021,Murder
Charlotte,NC,2021,Murder
Chicago,IL,2021,Murder
Milpitas,CA,2021,Murder
Houston,TX,2021,Murder
Dallas,TX,2021,Murder
Clearwater,FL,2021,Murder
Boston,MA,2021,Murder
York,PA,2021,Murder
Atlanta,GA,2021,Murder
Baltimore,MD,2021,Murder
Albany,GA,2021,Murder
Gervais,OR,2021,Murder
York,SC,2021,Murder
Niland,CA,2021,Murder
Lynchburg,VA,2021,Murder
Port Arthur,TX,2021,Murder
Suitland,MD,2021,Murder
Trenton,NJ,2021,Murder
Cleveland,OH,2021,Murder
Dallas,TX,2021,Murder
Shreveport,LA,2021,Murder
Chicago,IL,2021,Murder
Chicago,IL,2021,Murder
Arlington,TX,2021,Murder
Jackson,MS,2021,Murder
Miami Gardens,FL,2021,Murder
Maple Valley,WA,2021,Murder
Boise,ID,2021,Murder
Banks,OR,2021,Murder
Centralia,WA,2021,Murder
Greenville,SC,2021,Murder
Tampa,FL,2021,Murder
Aliquippa,PA,2021,Murder
Memphis,TN,2021,Murder
Flaherty,KY,2021,Murder
Oakland,CA,2021,Murder
Indianapolis,IN,2021,Murder
Houston,TX,2021,Murder
Albuquerque,NM,2021,Murder
Arlington,TX,2021,Murder
Baton Rouge,LA,2021,Murder
Houston,TX,2021,Murder
BossierCity,LA,2021,Murder
McAlester,OK,2020,Murder
Toa Baja,PR,2020,Murder
Moca,PR,2020,Murder
Augusta,GA,2020,Murder
Charlotte,NC,2020,Murder
Harlem,NY,2020,Murder
Baltimore,MD,2020,Murder
Bayamon,PR,2020,Murder
Traveling,PR,2020,Murder
Traveling,PR,2020,Murder
Sikeston,MO,2020,Murder
San Antonio,TX,2020,Murder
Mesa County,CO,2020,Murder
Tallahassee,FL,2020,Murder
Chicago,IL,2020,Murder
Philadelphia,PA,2020,Murder
Liberty Township,OH,2020,Murder
Akron,OH,2020,Murder
Little Rock,AR,2020,Murder
Dallas,TX,2020,Murder
Amite City,LA,2020,Murder
Pompano Beach,FL,2020,Murder
Seattle,WA,2020,Murder
Brawley,CA,2020,Murder
Bronx,NY,2020,Murder
Baton Rouge,LA,2020,Murder
Portland,OR,2020,Murder
Lafayette,LA,2020,Murder
Cleveland,OH,2020,Murder
Independence,MO,2020,Murder
Philadelphia,PA,2020,Murder
San German,PR,2020,Murder
Augusta,GA,2020,Murder
Shreveport,LA,2020,Murder
Indianapolis,IN,2020,Murder
Memphis,TN,2020,Murder
Miami,FL,2020,Murder
Montgomery,AL,2019,Murder
Memphis,TN,2019,Murder
Prince George’s County,MD,2019,Murder
Cleveland,OH,2019,Murder
Dallas,TX,2019,Murder
Philadelphia,PA,2019,Murder
Detroit,MI,2019,Murder
Dallas,TX,2019,Murder
