City,State,Year,Severity
Lumberton,NC,2019,Murder
Prince George’s County,MD,2019,Murder
Kansas City,MI,2019,Murder
North Charleston,SC,2019,Murder
Houston,TX,2019,Murder
Miami,FL,2019,Murder
Charlotte,NC,2019,Murder
Allendale County,SC,2019,Murder
Dayton,OH,2019,Murder
Baltimore,MD,2019,Murder
Clewiston,FL,2019,Murder
Kansas City,KS,2019,Murder
Houston,TX,2019,Murder
Kansas City,MO,2019,Murder
El Paso,TX,2019,Murder
New York,NY,2019,Murder
North Adams,MA,2018,Murder
Los Angeles,CA,2018,Murder
Jacksonville,FL,2018,Murder
Buffalo,NY,2018,Murder
Albuquerque,NM,2018,Murder
Cleveland,OH,2018,Murder
Baton Rouge,LA,2018,Murder
Chesterfield County,SC,2018,Murder
Dallas,TX,2018,Murder
Atlanta,GA,2018,Murder
Portland,OR,2018,Murder
Jacksonville,FL,2018,Murder
Meridian,MO,2018,Murder
Cleveland,OH,2018,Murder
Jacksonville,FL,2018,Murder
Orlando,FL,2018,Murder
Chicago,IL,2018,Murder
Shreveport,LA,2018,Murder
Philadelphia,PA,2018,Murder
North Port,FL,2018,Murder
Laredo,TX,2018,Murder
Chicago,IL,2018,Murder
Albuquerque,NM,2018,Murder
Jacksonville,FL,2018,Murder
Alexandria,LA,2018,Murder
Oklahoma City,OK,2018,Murder
Houston,TX,2018,Murder
Englewood,FL,2018,Murder
"Canton,",MO,2017,Murder
Sharon,PA,2017,Murder
Sioux Falls,SD,2017,Murder
Toledo,OH,2017,Murder
Monroe,LA,2017,Murder
Chicago,IL,2017,Murder
New Orleans,LA,2017,Murder
New Orleans,LA,2017,Murder
Baltimore,MD,2017,Murder
San Antonio,TX,2017,Murder
Miami,FL,2017,Murder
New York,NY,2017,Murder
Charlotte,NC,2017,Murder
Ithaca,NY,2017,Murder
Athens,GA,2017,Murder
Lynchburg,VA,2017,Murder
Atlanta,GA,2017,Murder
Waxahachie,TX,2017,Murder
St. Louis,MO,2017,Murder
Gates,NY,2017,Murder
Charlotte,NC,2017,Murder
Springfield,MS,2017,Murder
Atlanta,GA,2017,Murder
Robstown,TX,2017,Murder
Macon,GA,2017,Murder
San Francisco,CA,2017,Murder
Austin,TX,2016,Murder
Bakersfield,CA,2016,Murder
Frankford,PA,2016,Murder
Baton Rouge,LA,2016,Murder
Burlington,IA,2016,Murder
Los Angeles,CA,2016,Murder
Houston,TX,2016,Murder
Montgomery County,MD,2016,Murder
Wichita,KS,2016,Murder
Haines County,FL,2016,Murder
Milton,VT,2016,Murder
New Orleans,LA,2016,Murder
Washington,DC,2016,Murder
St. Martin,MS,2016,Murder
El Paso,TX,2016,Murder
Columbus,OH,2016,Murder
Chicago,IL,2016,Murder
Baltimore,MD,2016,Murder
Birmingham,AL,2016,Murder
Cleveland,OH,2016,Murder
Richmond,VA,2016,Murder
Louisville,KY,2015,Murder
Norfolk,VA,2015,Murder
Tyler,TX,2015,Murder
Los Angeles,CA,2015,Murder
San Francisco,CA,2015,Murder
New Orleans,LA,2015,Murder
Miami,FL,2015,Murder
Aurora,IL,2015,Murder
Philadelphia,PA,2015,Murder
George County,AL,2015,Murder
Kansas City,MO,2015,Murder
Detroit,MI,2015,Murder
Tampa,FL,2015,Murder
Fresno,CA,2015,Murder
Dallas,TX,2015,Murder
Detroit,MI,2015,Murder
Phoenix,AZ,2015,Murder
Salisbury,NC,2015,Murder
Kansas City,MO,2015,Murder
Philadelphia,PA,2015,Murder
Gathersburg,MD,2015,Murder
Oakland,CA,2015,Aggravated Assault
Fresno,CA,2015,Murder and Nonnegligent Manslaughter
Fresno,CA,2015,Robbery
Glendale,CA,2015,Simple Assault
Los Angeles,CA,2015,Intimidation
Los Angeles,CA,2015,Simple Assault
Los Angeles,CA,2015,Aggravated Assault
Los Angeles,CA,2015,Simple Assault
Santa Monica,CA,2015,Aggravated Assault
Fullerton,CA,2015,Intimidation
Huntington Beach,CA,2015,Robbery
Santa Ana,CA,2015,Simple Assault
California State University:,CA,2015,Intimidation
Sacramento,CA,2015,Aggravated Assault
Victorville,CA,2015,Robbery
San Diego,CA,2015,Robbery
San Diego,CA,2015,Intimidation
San Diego,CA,2015,Intimidation
San Francisco,CA,2015,Aggravated Assault
San Francisco,CA,2015,Simple Assault
San Francisco,CA,2015,Aggravated Assault
Stockton,CA,2015,Aggravated Assault
California State University:,CA,2015,Not Specified
Santa Cruz,CA,2015,Simple Assault
Boulder,CO,2015,Sexual Assault With An Object
Jefferson,CO,2015,Destruction/Damage/Vandalism of Property
Loveland,CO,2015,Intimidation
Washington,DC,2015,Robbery
Washington,DC,2015,Aggravated Assault
Washington,DC,2015,Simple Assault
Washington,DC,2015,Intimidation
Washington,DC,2015,Simple Assault
Washington,DC,2015,Aggravated Assault
Washington,DC,2015,Aggravated Assault
Washington,DC,2015,Aggravated Assault
Washington,DC,2015,Simple Assault
Washington,DC,2015,Aggravated Assault
Miami Beach,FL,2015,Simple Assault
Des Plaines,IL,2015,Destruction/Damage/Vandalism of Property
Chicago,IL,2015,Simple Assault
Boone,KY,2015,Simple Assault
Norton,MA,2015,Theft From Motor Vehicle
Acton,MA,2015,Simple Assault
Lowell,MA,2015,Intimidation
Newton,MA,2015,Theft From Building
Waltham,MA,2015,Simple Assault
Quincy,MA,2015,All Other Larceny
Boston,MA,2015,Intimidation
Boston,MA,2015,Aggravated Assault
Boston,MA,2015,Simple Assault
Boston,MA,2015,Intimidation
Boston,MA,2015,Aggravated Assault
Boston,MA,2015,Intimidation
St. Peters,MO,2015,Burglary/Breaking & Entering
Kansas City,MO,2015,Aggravated Assault
Lincoln,NB,2015,Simple Assault
Rochester,NY,2015,Simple Assault
Reading,PA,2015,Simple Assault
Memphis,TN,2015,Simple Assault
Austin,TX,2015,Simple Assault
Austin,TX,2015,Intimidation
Dallas,TX,2015,Destruction/Damage/Vandalism of Property
Dallas,TX,2015,Intimidation
Houston,TX,2015,Simple Assault
Windham,VT,2015,Destruction/Damage/Vandalism of Property
Republic,WA,2015,Fondling
Seattle,WA,2015,Simple Assault
Seattle,WA,2015,Intimidation
Seattle,WA,2015,Intimidation
Seattle,WA,2015,Simple Assault
Seattle,WA,2015,Simple Assault
Seattle,WA,2015,Simple Assault
Seattle,WA,2015,Drug/Narcotic Violations
Little Rock,AR,2016,Simple Assault
Compton,CA,2016,Aggravated Assault
Hawaiian Gardens,CA,2016,Aggravated Assault
Los Angeles Transportation Services Bureau,CA,2016,Simple Assault
Long Beach,CA,2016,Aggravated Assault
Los Angeles,CA,2016,Simple Assault
Los Angeles,CA,2016,Intimidation
Los Angeles,CA,2016,Aggravated Assault
Los Angeles,CA,2016,Burglary/Breaking & Entering
Los Angeles,CA,2016,Aggravated Assault
Los Angeles,CA,2016,Aggravated Assault
Los Angeles,CA,2016,Robbery
Los Angeles,CA,2016,Simple Assault
Los Angeles,CA,2016,Aggravated Assault
Los Angeles,CA,2016,Aggravated Assault
Los Angeles,CA,2016,Simple Assault
Los Angeles,CA,2016,Simple Assault
Merced,CA,2016,Arson
Riverside,CA,2016,Simple Assault
San Bernardino,CA,2016,Aggravated Assault
San Francisco,CA,2016,Aggravated Assault
San Francisco,CA,2016,Simple Assault
San Francisco,CA,2016,Simple Assault
San Francisco,CA,2016,Simple Assault
Foothill-De Anza College,CA,2016,Destruction/Damage/Vandalism of Property
Davis,CA,2016,Intimidation
Washington,DC,2016,Simple Assault
Washington,DC,2016,Intimidation
Washington,DC,2016,Intimidation
Washington,DC,2016,Robbery
Washington,DC,2016,Simple Assault
Washington,DC,2016,Aggravated Assault
Washington,DC,2016,Simple Assault
Washington,DC,2016,Simple Assault
Washington,DC,2016,Aggravated Assault
Washington,DC,2016,Simple Assault
Washington,DC,2016,Simple Assault
Washington,DC,2016,Simple Assault
Washington,DC,2016,Simple Assault
Washington,DC,2016,Simple Assault
Washington,DC,2016,Intimidation
Washington,DC,2016,Simple Assault
Washington,DC,2016,Aggravated Assault
Washington,DC,2016,Simple Assault
Washington,DC,2016,Simple Assault
Metro Transit Police,DC,2016,Robbery
Wheeling,IL,2016,Intimidation
Chicago,IL,2016,Intimidation
Chicago,IL,2016,Simple Assault
Glasgow,KY,2016,Rape
Radcliff,KY,2016,Intimidation
Louisville Metro,KY,2016,Intimidation
Acton,MA,2016,Simple Assault
Boston,MA,2016,Simple Assault
Boston,MA,2016,Destruction/Damage/Vandalism of Property
Boston,MA,2016,Intimidation
Boston,MA,2016,Aggravated Assault
Boston,MA,2016,Intimidation
Boston,MA,2016,Intimidation
Boston,MA,2016,Simple Assault
Boston,MA,2016,Simple Assault
Boston,MA,2016,Simple Assault
Worcester,MA,2016,Aggravated Assault
North Carolina Central University,NC,2016,Not Specified
Greenville,NC,2016,Simple Assault
Las Vegas Metropolitan Police Department,NV,2016,Simple Assault
New York,NY,2016,Simple Assault
New York,NY,2016,Simple Assault
New York,NY,2016,Simple Assault
New York,NY,2016,Aggravated Assault
New York,NY,2016,Simple Assault
New York,NY,2016,Aggravated Assault
New York,NY,2016,Simple Assault
New York,NY,2016,Simple Assault
New York,NY,2016,Simple Assault
New York,NY,2016,Aggravated Assault
New York,NY,2016,Robbery
New York,NY,2016,Aggravated Assault
New York,NY,2016,Aggravated Assault
New York,NY,2016,Aggravated Assault
New York,NY,2016,Robbery
New York,NY,2016,Simple Assault
New York,NY,2016,Simple Assault
Suffolk County Police Department,NY,2016,Destruction/Damage/Vandalism of Property
Lorain,OH,2016,Destruction/Damage/Vandalism of Property
Eugene,OR,2016,Simple Assault
Bedford,TX,2016,Kidnapping/Abduction;Robbery
Bedford,TX,2016,Kidnapping/Abduction;Robbery
Bedford,TX,2016,Kidnapping/Abduction;Robbery
Bedford,TX,2016,Kidnapping/Abduction;Robbery
Bedford,TX,2016,Kidnapping/Abduction;Robbery
Austin,TX,2016,Simple Assault
Houston,TX,2016,Aggravated Assault
Houston,TX,2016,Simple Assault
Skagit,WA,2016,Simple Assault
Marysville,WA,2016,Theft of Motor Vehicle Parts or Accessories
Evergreen State College,WA,2016,Destruction/Damage/Vandalism of Property
Seattle,WA,2016,Aggravated Assault
Seattle,WA,2016,Simple Assault
Seattle,WA,2016,Intimidation
Seattle,WA,2016,Simple Assault
Seattle,WA,2016,Simple Assault
Seattle,WA,2016,Sodomy
Seattle,WA,2016,Robbery
Seattle,WA,2016,Intimidation
Milwaukee,WI,2016,Aggravated Assault
Phoenix,AZ,2017,Intimidation
Phoenix,AZ,2017,Aggravated Assault
Brentwood,CA,2017,Intimidation
Fresno,CA,2017,Aggravated Assault
Los Angeles,CA,2017,Simple Assault
Los Angeles,CA,2017,Destruction/Damage/Vandalism of Property
Los Angeles,CA,2017,Robbery
Los Angeles,CA,2017,Simple Assault
Los Angeles,CA,2017,Aggravated Assault
Los Angeles,CA,2017,Simple Assault
Los Angeles,CA,2017,Simple Assault
Los Angeles,CA,2017,Aggravated Assault
Los Angeles,CA,2017,Simple Assault
Los Angeles,CA,2017,Intimidation
Los Angeles,CA,2017,Aggravated Assault
Pasadena,CA,2017,Aggravated Assault
Pico Rivera,CA,2017,Aggravated Assault
Atwater,CA,2017,Simple Assault
Garden Grove,CA,2017,Simple Assault
Sacramento,CA,2017,Intimidation
Sacramento,CA,2017,Simple Assault
San Francisco,CA,2017,Aggravated Assault
San Francisco,CA,2017,Aggravated Assault
San Francisco,CA,2017,Intimidation;Simple Assault
San Francisco,CA,2017,Aggravated Assault
Santa Clara,CA,2017,Robbery
Santa Clara,CA,2017,Aggravated Assault
San Jose,CA,2017,Simple Assault
Sunnyvale,CA,2017,Destruction/Damage/Vandalism of Property
